Map,Score1,Score2,Team1,Team2,MainWon
Mirage,13,16,ENCE,MOUZ,1
Vertigo,16,11,ENCE,MOUZ,0
Nuke,8,16,ENCE,MOUZ,1
Ancient,11,16,MOUZ,OG,0
Overpass,11,16,Complexity,MOUZ,1
Ancient,16,12,Complexity,MOUZ,0
Inferno,7,16,Complexity,MOUZ,1
Mirage,16,6,MOUZ,Aurora,1
Mirage,13,11,MOUZ,FaZe,1
Nuke,8,13,MOUZ,FaZe,0
Overpass,8,13,MOUZ,FaZe,0
Overpass,7,16,MOUZ,FORZE,0
Ancient,11,16,MOUZ,FORZE,0
Inferno,16,13,MOUZ,Vitality,1
Mirage,8,16,MOUZ,Vitality,0
Vertigo,7,16,MOUZ,Vitality,0
Nuke,22,19,MOUZ,TheMongolz,1
Ancient,8,16,MOUZ,Astralis,0
Nuke,11,16,MOUZ,Astralis,0
Vertigo,9,16,MOUZ,MIBR,0
Inferno,16,7,MOUZ,MIBR,1
Mirage,14,16,MOUZ,MIBR,0
Mirage,6,16,AGO,MOUZ,1
Inferno,10,16,Cloud9,MOUZ,1
Vertigo,16,11,Cloud9,MOUZ,0
Mirage,16,10,Cloud9,MOUZ,0
Mirage,16,9,Ninjas in Pyjamas,MOUZ,0
Inferno,16,5,MOUZ,Portuguese Family,1
Mirage,16,4,MOUZ,Portuguese Family,1
Vertigo,3,16,SAW,MOUZ,1
Ancient,9,16,SAW,MOUZ,1
Vertigo,5,13,FaZe,MOUZ,1
Nuke,13,8,FaZe,MOUZ,0
Ancient,13,4,FaZe,MOUZ,0
Mirage,7,13,MOUZ,FaZe,0
Nuke,18,22,MOUZ,FaZe,0
Mirage,7,16,MOUZ,BIG,0
Mirage,16,7,MOUZ,EC Kyiv,1
Mirage,10,16,FaZe,MOUZ,1
Inferno,5,16,FaZe,MOUZ,1
Mirage,16,12,Apeks,MOUZ,0
Vertigo,16,7,Apeks,MOUZ,0
Vertigo,16,8,MOUZ,fnatic,1
Inferno,9,16,MOUZ,fnatic,0
Ancient,16,9,MOUZ,fnatic,1
Nuke,16,12,Natus Vincere,MOUZ,0
Mirage,14,16,Natus Vincere,MOUZ,1
Inferno,16,6,Natus Vincere,MOUZ,0
Inferno,13,2,MOUZ,Wings Up,1
Vertigo,16,8,Falcons,MOUZ,0
Mirage,16,11,Natus Vincere,MOUZ,0
Mirage,16,10,MOUZ,OG,1
Inferno,16,7,MOUZ,OG,1
Nuke,16,8,MOUZ,Movistar Riders,1
Ancient,15,19,Evil Geniuses,MOUZ,1
Inferno,13,16,Evil Geniuses,MOUZ,1
Vertigo,11,16,MOUZ,9INE,0
Ancient,16,9,MOUZ,9INE,1
Nuke,10,16,MOUZ,9INE,0
Ancient,16,10,Outsiders,MOUZ,0
Overpass,14,16,Outsiders,MOUZ,1
Inferno,16,7,Outsiders,MOUZ,0
Overpass,16,19,MOUZ,Victory Zigzag,0
Inferno,14,16,MOUZ,Sprout,0
Overpass,10,16,MOUZ,Outsiders,0
Inferno,10,16,MOUZ,Outsiders,0
Mirage,7,16,BIG,MOUZ,1
Ancient,17,19,BIG,MOUZ,1
Ancient,10,16,MOUZ,416Olsk,0
Ancient,16,12,MOUZ,SAW,1
Mirage,9,16,MOUZ,ENCE,0
Nuke,10,16,MOUZ,ENCE,0
Inferno,19,16,MOUZ,Sangal,1
Vertigo,9,16,MOUZ,Sangal,0
Ancient,16,12,MOUZ,Sangal,1
Nuke,4,13,MOUZ,FaZe,0
Vertigo,9,13,MOUZ,FaZe,0
Mirage,19,17,MOUZ,Vitality,1
Ancient,16,1,MOUZ,ONYX,1
Ancient,16,14,Spirit,MOUZ,0
Mirage,13,6,Spirit,MOUZ,0
Inferno,16,7,Astralis,MOUZ,0
Nuke,16,14,Astralis,MOUZ,0
Nuke,8,16,FaZe,MOUZ,1
Ancient,16,9,FaZe,MOUZ,0
Inferno,15,19,FaZe,MOUZ,1
Ancient,9,16,MOUZ,B8,0
Inferno,16,2,MOUZ,Liquid,1
Vertigo,14,16,MIBR,MOUZ,1
